area_type,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Hosur Road,1 BHK,460,1,1,21
Carpet  Area,Attibele,1 BHK,460,1,1,13
Plot  Area,sankeswari,1 Bedroom,461.82,1,1,31.7
Plot  Area,Vidyaranyapura,3 Bedroom,462,3,0,38
Super built-up  Area,Jalahalli West,1 BHK,469,1,0,25
Super built-up  Area,Alur,1 BHK,470,2,1,10
Built-up  Area,Rayasandra,1 BHK,470,1,1,21
Super built-up  Area,Sarjapur  Road,1 BHK,475,1,1,26
Super built-up  Area,Malleshwaram,1 BHK,480,1,1,60
Built-up  Area,Kaval Byrasandra,1 BHK,480,1,1,25
Plot  Area,Kenchenahalli,3 Bedroom,480,3,3,65
Super built-up  Area,Makali,1 BHK,485,1,1,15
Built-up  Area,Amruthahalli,1 BHK,485,1,1,19.5
Carpet  Area,Yelahanka New Town,1 BHK,485.021334,2,1,18
Built-up  Area,Yelahanka New Town,1 BHK,488,1,1,20
Super built-up  Area,Vijayanagar,1 BHK,492,1,1,40
Super built-up  Area,Marsur,2 BHK,497,1,1,17
Super built-up  Area,Marsur,2 BHK,497,1,1,25
Super built-up  Area,Marsur,2 BHK,497,1,1,20
Super built-up  Area,Marsur,2 BHK,497,1,1,20
Built-up  Area,Balepet,6 BHK,499,5,0,89
Plot  Area,Double Road,3 Bedroom,500,3,2,100
Built-up  Area,Bannerghatta Road,1 BHK,500,1,1,18.5
Plot  Area,Kenchenahalli,5 Bedroom,500,3,2,65
Super built-up  Area,Ananth Nagar,1 BHK,500,1,1,14
Super built-up  Area,Yelahanka New Town,1 BHK,500,1,1,20
Super built-up  Area,Raja Rajeshwari Nagar,1 BHK,500,1,1,25
Super built-up  Area,Attibele,1 BHK,500,1,1,17
Super built-up  Area,Ananth Nagar,1 BHK,500,2,2,14
Built-up  Area,Panduranga Nagar,1 BHK,500,1,0,20
Built-up  Area,Attiguppe,2 Bedroom,500,2,1,70
Built-up  Area,Indira Nagar,1 Bedroom,500,1,0,70
Built-up  Area,Sarvabhouma Nagar,1 BHK,500,1,0,24
Plot  Area,Banashankari,5 Bedroom,500,5,2,92
Super built-up  Area,8th Phase JP Nagar,1 BHK,500,1,1,31
Super built-up  Area,Makali,1 BHK,500,1,1,15
Built-up  Area,Kengeri,1 BHK,500,1,1,17
Plot  Area,Banashankari Stage II,2 Bedroom,500,2,1,55
Super built-up  Area,Yelahanka New Town,1 BHK,500,2,1,24
Super built-up  Area,8th Phase JP Nagar,1 BHK,500,1,1,30
Super built-up  Area,Ananth Nagar,1 BHK,500,1,1,14
Super built-up  Area,Kengeri Satellite Town Stage II,1 BHK,500,1,1,20
Super built-up  Area,Yelahanka New Town,1 BHK,500,1,1,18
Super built-up  Area,Harsha Layout,1 BHK,500,1,1,16
Built-up  Area,Mysore Road,1 BHK,500,1,1,17.5
Plot  Area,7th Phase JP Nagar,1 Bedroom,500,1,0,70
Plot  Area,Kodigehalli,2 Bedroom,500,1,0,55
Plot  Area,5th Block Jayanagar,3 Bedroom,500,2,1,75
Carpet  Area,8th Phase JP Nagar,1 BHK,500,1,1,33
Super built-up  Area,Ananth Nagar,1 BHK,500,1,1,14
Plot  Area,Mylasandra,1 Bedroom,500,2,0,80
Super built-up  Area,Austin Town,1 BHK,500,1,1,13
Super built-up  Area,Nagawara Junction,1 BHK,500,1,2,51
Super built-up  Area,Shivaji Nagar,2 BHK,500,1,1,20
Carpet  Area,Hulimavu,1 BHK,500,1,3,220
Built-up  Area,Kengeri,1 BHK,502,1,1,25
Built-up  Area,Chamrajpet,1 BHK,505,1,0,85
Super built-up  Area,Shauhardha Layout,1 BHK,509,1,1,20
Super built-up  Area,Hoskote,1 BHK,509,1,1,23
Super built-up  Area, Thanisandra,1 RK,510,1,0,25.25
Super built-up  Area, Thanisandra,1 RK,510,1,1,25.25
Built-up  Area,Gowdanapalya,1 Bedroom,510,1,0,34
Plot  Area,Kumaraswami Layout,6 Bedroom,510,4,1,70
Super built-up  Area,Raja Rajeshwari Nagar,1 BHK,510,1,1,22
Built-up  Area,Bommanahalli,1 BHK,515,1,1,25
Super built-up  Area,Whitefield,1 BHK,516,1,1,39
Super built-up  Area,Bommanahalli,1 BHK,520,1,0,19.5
Super built-up  Area,Chandapura,1 BHK,520,1,1,14.04
Plot  Area,Kadabagere,1 Bedroom,520,2,0,29
Super built-up  Area,Chandapura,1 BHK,520,1,1,14.04
Built-up  Area,Attibele,1 BHK,520,1,1,15
Super built-up  Area,Chandapura,1 BHK,520,1,1,14.04
Super built-up  Area,Whitefield,1 BHK,524,1,1,29
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,26
Super built-up  Area,Kanakpura Road,1 BHK,525,2.692609647,0,21.53
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,27.25
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,30
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,26
Plot  Area,Singasandra,4 Bedroom,525,5,2,56
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,25
Super built-up  Area,2nd Phase Judicial Layout,1 BHK,525,1,1,26
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,30
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,30
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,30
Super built-up  Area,Kanakpura Road,1 BHK,525,2.692609647,0,27
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,27
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,27.5
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,26.25
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,26
Super built-up  Area,Kanakpura Road,1 BHK,525,2.692609647,0,29.25
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,26.01
Super built-up  Area,Kanakpura Road,1 BHK,525,2.692609647,0,27
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,30
Super built-up  Area,Kanakpura Road,1 BHK,525,1,1,26
Built-up  Area,Neeladri Nagar,1 BHK,527,1,0,26
Super built-up  Area, Banaswadi,1 RK,527,1,0,35
Super built-up  Area,Chandapura,1 BHK,530,1,0,11.66
Built-up  Area,Alur,1 BHK,530,1,1,20
Super built-up  Area,Anekal,1 BHK,530,1,1,18
Super built-up  Area,Whitefield,1 BHK,530,1,1,29.44
Super built-up  Area,Electronic City,1 BHK,530,1,1,13.5
Super built-up  Area,Makali,1 BHK,530,1,1,18
Built-up  Area,Celebrity Paradise Layout,1 BHK,532,1,1,22.49
Super built-up  Area,Sarjapur  Road,1 BHK,534,1,1,19.65
Super built-up  Area,Sarjapur,2 BHK,535,1,1,20
Super built-up  Area, Mysore Highway,1 BHK,535,1,1,35
Super built-up  Area,Sarjapur  Road,1 BHK,539,1,1,45
Built-up  Area,Byatarayanapura,1 Bedroom,540,1,1,36
Plot  Area,Ramagondanahalli,1 Bedroom,540,1,0,30
Built-up  Area,Kogilu,1 Bedroom,540,1,0,36
Built-up  Area,Kammanahalli,3 Bedroom,540,3,1,60
Plot  Area,Rayasandra,1 Bedroom,540,1,1,16.5
Super built-up  Area,Kengeri,1 BHK,540,1,1,22.5
Plot  Area,Mysore Road,4 Bedroom,540,4,2,85
Plot  Area,Annaiah Reddy Layout,1 Bedroom,540,1,0,22
Built-up  Area,Ramamurthy Nagar,1 Bedroom,540,1,0,35
Super built-up  Area,Bhagyalakshmi Avenue,1 BHK,540,1,2,24
Super built-up  Area,Bhagyalakshmi Avenue,1 BHK,540,1,1,22.5
Super built-up  Area,Electronic City Phase II,2 BHK,545,1,1,27
Super built-up  Area,Electronic City Phase II,2 BHK,545,1,1,35
Built-up  Area,Electronic City Phase II,2 BHK,545,1,1,29
Super built-up  Area,Dasanapura,2 BHK,545,2,1,22.34
Built-up  Area,Electronic City Phase II,2 BHK,545,1,1,28
Plot  Area,Sultan Palaya,2 Bedroom,550,1,1,62
Built-up  Area,Electronic City,2 BHK,550,1,1,16
Super built-up  Area,Yelahanka New Town,2 BHK,550,2,1,26
Super built-up  Area,Electronic City,2 BHK,550,1,1,15
Super built-up  Area,Doddathoguru,1 BHK,550,1,1,17
Super built-up  Area,Electronic City,2 BHK,550,1,1,15
Super built-up  Area,Raja Rajeshwari Nagar,1 BHK,550,1,0,21
Built-up  Area,Electronic City,1 BHK,550,1,1,12
Super built-up  Area,Jalahalli West,1 BHK,550,1,1,23
Built-up  Area,Shivaji Nagar,2 BHK,550,1,1,27
Super built-up  Area,Basava Nagar,1 BHK,550,1,1,16
Built-up  Area,Electronic City,2 BHK,550,1,1,15
Super built-up  Area,Celebrity Paradise Layout,1 BHK,550,1,1,16
Super built-up  Area,Attibele,1 BHK,550,1,1,11.5
Built-up  Area, Electronic City,1 RK,550,1,1,27
Super built-up  Area,Pillanna Gardens,2 BHK,550,1,1,20
Built-up  Area,Kengeri,1 BHK,550,1,1,16.75
Super built-up  Area,Electronic City,2 BHK,550,1,1,16
Super built-up  Area,Electronic City,2 BHK,550,2,1,16
Super built-up  Area,Doddathoguru,1 BHK,550,1,1,17
Super built-up  Area,Kanakapura,1 BHK,551,1,1,30
Super built-up  Area,Vajarahalli,1 BHK,551,1,1,30
Super built-up  Area,5th Phase JP Nagar,1 BHK,552,1,1,23.5
Super built-up  Area,Varthur Road,1 BHK,552.5,1,0,13.26
Plot  Area,Margondanahalli,2 Bedroom,555,1,0,37
Built-up  Area,Kengeri Satellite Town,2 BHK,560,2,1,16.6
Super built-up  Area,Bethel Nagar,1 BHK,560,1,0,19
Built-up  Area,Bagalakunte,1 BHK,560,1,1,21
Plot  Area,Frazer Town,1 Bedroom,560,1,0,90
Super built-up  Area,Haralur Road,1 BHK,560,1,1,45
Built-up  Area,Allalasandra,2 BHK,560,2,1,22
Built-up  Area,Cooke Town,1 BHK,565,1,1,35
Super built-up  Area,Kamala Nagar,1 BHK,565,1,1,33
Built-up  Area,Kadabagere,2 BHK,565,2,1,15
Built-up  Area,Yelahanka,1 BHK,567,1,1,25
Plot  Area,Thyagaraja Nagar,5 Bedroom,570,5,0,80
Built-up  Area,Yeshwanthpur,2 BHK,570,2,1,62
Super built-up  Area,Haralur Road,1 BHK,575,1,1,88
Super built-up  Area,Haralur Road,1 BHK,575,1,1,38
Built-up  Area,Electronic City Phase II,1 BHK,575,1,1,16.75
Built-up  Area,Cholanayakanahalli,2 Bedroom,580,2,0,95
Built-up  Area,Electronics City Phase 1,1 BHK,580,1,1,27
Super built-up  Area,Thanisandra,1 BHK,580,1,1,27.5
Built-up  Area,Malleshwaram,1 BHK,580,1,1,45
Super built-up  Area,Hulimavu,1 BHK,581,1,1,29
Super built-up  Area,Basaveshwara Nagar Yelahanka,1 BHK,581.91,2,1,25
Super built-up  Area,Chandapura,1 BHK,582.5,1,0,15.135
Super built-up  Area,Rayasandra,1 BHK,583,1,1,26.9
Carpet  Area,Hormavu,1 BHK,583,1,0,28.275
Plot  Area,Yeshwanthpur,2 Bedroom,585,1,0,70
Super built-up  Area,Electronics City Phase 1,1 BHK,585,1,1,21
Plot  Area,Pulkeshi Nagar,1 Bedroom,588,1,0,88.2
Super built-up  Area,Electronic City,1 BHK,589,1,1,27
Super built-up  Area,Electronic City,1 BHK,589,1,1,29
Super built-up  Area,Chandapura,1 BHK,590,1,0,13.57
Super built-up  Area,Bannerghatta Road,1 BHK,595,1,1,33.32
Built-up  Area,Venkatadri Layout,1 BHK,595,1,1,42
Super built-up  Area,Bannerghatta Road,1 BHK,595,1,1,31.83
Super built-up  Area,Akshayanagara East,1 BHK,595,1,1,40
Built-up  Area,Venkatadri Layout,1 BHK,596,1,1,42
Built-up  Area,Geleyara Balaga Layout,2 BHK,596,2,1,22
Built-up  Area,Kengeri,1 BHK,600,1,1,15
Super built-up  Area,Ganga Nagar,1 BHK,600,1,0,38
Plot  Area,HSR Layout,8 Bedroom,600,9,0,200
Plot  Area,Kumaraswami Layout,5 Bedroom,600,3,2,85
Plot  Area,Banjara Layout,3 Bedroom,600,3,2,58
Super built-up  Area,Hosapalya,1 BHK,600,1,0,90
Plot  Area,Sulthangunta,1 Bedroom,600,1,0,50
Plot  Area,Anjappa Layout,2 Bedroom,600,2,1,55
Plot  Area,Chelekare,1 Bedroom,600,1,1,60
Plot  Area,Sector 3 HSR Layout,9 Bedroom,600,9,3,190
Plot  Area,Nagondanahalli,6 Bedroom,600,4,3,65
Plot  Area,Vijayanagar,8 Bedroom,600,4,1,72
Plot  Area,Kothannur,3 Bedroom,600,4,0,95
Super built-up  Area,Raja Rajeshwari Nagar,1 BHK,600,1,1,22
Plot  Area,Thurahalli,4 Bedroom,600,3,2,65
Plot  Area,T.C. Palya,4 Bedroom,600,5,2,60
Plot  Area,Jnanabharathi Layout,3 Bedroom,600,3,2,75
Plot  Area,Gubbalala,3 Bedroom,600,3,2,75
Plot  Area,Kereguddadahalli,6 Bedroom,600,4,0,60
Super built-up  Area,Anekal,1 BHK,600,1,1,16.5
Plot  Area,Banashankari,3 Bedroom,600,3,1,100
Plot  Area,Kamakshipalya,3 Bedroom,600,2,1,60
Built-up  Area,New Gurappana Palya,7 BHK,600,7,3,106
Built-up  Area,6th Phase JP Nagar,3 Bedroom,600,2,0,100
Built-up  Area,Arekere,1 BHK,600,1,1,28
Built-up  Area,Singasandra,2 Bedroom,600,2,1,36.5
Plot  Area,Rajagopala Nagar,4 Bedroom,600,4,1,40
Plot  Area,Nagarbhavi,4 Bedroom,600,2,1,100
Plot  Area,Nagarbhavi,3 Bedroom,600,2,1,80
Plot  Area, ittamadu,3 Bedroom,600,2,1,110
Plot  Area,Vishveshwarya Layout,4 Bedroom,600,4,0,95
Built-up  Area,Basavangudi,1 Bedroom,600,1,0,97.5
Plot  Area,Kengeri Satellite Town,3 Bedroom,600,4,3,72
Built-up  Area,Sri Balaji Krupa Layout,1 Bedroom,600,1,0,32
Plot  Area,Nagarbhavi,3 Bedroom,600,3,2,100
Plot  Area,Kengeri Hobli,3 Bedroom,600,2,0,30
Plot  Area,Thavarekere,7 Bedroom,600,7,0,108
Built-up  Area,KR Puram,4 Bedroom,600,5,2,75
Plot  Area,Rachenahalli,5 Bedroom,600,5,0,50
Built-up  Area, Mysore Highway,1 BHK,600,1,1,17
Plot  Area,Nagarbhavi,3 Bedroom,600,3,1,83
Plot  Area,Kumaraswami Layout,3 Bedroom,600,3,1,98
Plot  Area,Vajarahalli,5 Bedroom,600,3,1,86
Built-up  Area,Hongasandra,7 Bedroom,600,7,3,89
Plot  Area,Kothannur,4 Bedroom,600,4,1,81
Plot  Area,Chandra Layout,4 Bedroom,600,2,1,85
Built-up  Area,Jyothi Nagar,2 BHK,600,2,1,23
Plot  Area,BTM 1st Stage,4 Bedroom,600,2,2,90
Plot  Area,Jigani,5 Bedroom,600,5,0,50
Built-up  Area,Yelahanka,2 BHK,600,2,2,27
Plot  Area,Lingarajapuram,6 Bedroom,600,7,2,63
Built-up  Area,Vishwapriya Layout,4 BHK,600,3,2,73
Plot  Area,Banashankari 2nd Stage,6 Bedroom,600,3,3,95
Plot  Area,Vishwapriya Layout,7 Bedroom,600,7,0,73
Plot  Area,Nagadevanahalli,3 Bedroom,600,4,2,110
Plot  Area,Lakshmi Layout,4 Bedroom,600,5,2,85
Built-up  Area,Seshadripuram,2 BHK,600,3,2,75
Carpet  Area,Veerannapalya,7 BHK,600,4,0,100
Plot  Area,Vidyaranyapura,4 Bedroom,600,3,2,78
Plot  Area,Ramamurthy Nagar,2 Bedroom,600,3,2,45
Plot  Area,Jalahalli,3 Bedroom,600,3,2,60
Plot  Area,Subbannaiah Palya,2 Bedroom,600,3,2,85
Plot  Area,"Basnashankari,6th stage,",3 Bedroom,600,3,1,54
Plot  Area,Medahalli,8 Bedroom,600,8,0,70
Built-up  Area,2nd Stage Nagarbhavi,4 Bedroom,600,3,1,95
Plot  Area,OMBR Layout,3 Bedroom,600,3,2,100
Plot  Area,Anjanapura,1 Bedroom,600,2,0,55
Built-up  Area,5th Phase JP Nagar,1 BHK,600,1,1,30
Super built-up  Area,Venkatadri Layout,1 BHK,600,1,1,43
Plot  Area,BTM Layout,4 Bedroom,600,4,2,122
Plot  Area,Margondanahalli,2 Bedroom,600,2,0,35
Plot  Area,2nd Stage Nagarbhavi,3 Bedroom,600,4,2,100
Built-up  Area,Ramamurthy Nagar,1 Bedroom,600,1,1,43
Built-up  Area,9th Phase JP Nagar,1 BHK,600,1,0,20
Plot  Area,RTO ullalu,2 Bedroom,600,4,1,110
Built-up  Area,6th Phase JP Nagar,1 Bedroom,600,1,1,75
Plot  Area,1st Block HRBR Layout,3 Bedroom,600,3,1,90
Plot  Area,Mallasandra,4 Bedroom,600,2,2,50
Built-up  Area,R.T. Nagar,7 Bedroom,600,7,3,93
Plot  Area,Singapura Village,4 Bedroom,600,5,3,75
Plot  Area,Nagawara Junction,2 Bedroom,600,2,0,30
Plot  Area,Nagarbhavi  BDA Complex,3 Bedroom,600,2,1,85
Plot  Area,Gidada Konnenahalli,6 Bedroom,600,4,2,105
Plot  Area,Chikkasandra,2 Bedroom,600,1,1,52
Plot  Area,Kengeri,3 Bedroom,600,3,1,90
Plot  Area,Sector 1 HSR Layout,2 Bedroom,600,2,1,120
Plot  Area,BTM 1st Stage,7 Bedroom,600,7,3,110
Plot  Area,Chelekare,8 Bedroom,600,6,2,60
Built-up  Area,Magadi Road,2 BHK,600,1,1,22
Built-up  Area,D Group Employees Layout,5 Bedroom,600,4,3,76
Plot  Area,Jnana Ganga Nagar,3 Bedroom,600,4,1,81
Plot  Area,TC Palaya,4 Bedroom,600,4,0,65
Super built-up  Area,Chikkabanavar,2 BHK,600,1,2,25
Plot  Area,BTM Layout 1stage 9th Main,7 Bedroom,600,6,2,138
Super built-up  Area,Austin Town,1 BHK,600,2,0,23
Built-up  Area,Kereguddadahalli,1 BHK,600,1,1,19.5
Plot  Area,Vishveshwarya Layout,3 Bedroom,600,4,0,99
Plot  Area,Sector 2 HSR Layout,9 Bedroom,600,9,0,90
Plot  Area,HAL 2nd Stage,2 Bedroom,600,3,2,145
Plot  Area,Giri Nagar,6 Bedroom,600,6,3,100
Plot  Area,Vishwapriya Nagar,3 Bedroom,600,3,2,65
Plot  Area,2nd Stage Nagarbhavi,4 Bedroom,600,4,2,125
Plot  Area,Kammanahalli,3 Bedroom,600,2,1,50
Plot  Area,Gowdanapalya,2 Bedroom,600,2,2,39
Plot  Area,6th Phase JP Nagar,4 Bedroom,600,4,3,125
Plot  Area,Amruthahalli,4 Bedroom,600,4,0,60
Plot  Area,Mathikere,4 Bedroom,600,3,0,100
Plot  Area,Moodalapalya,1 Bedroom,600,1,0,52
Super built-up  Area,Battarahalli,1 BHK,600,1,0,47
Plot  Area,Subramanyapura,3 Bedroom,600,3,1,69
Plot  Area,Vishveshwarya Layout,4 Bedroom,600,4,2,85
Plot  Area,bsk 6th stage 2ad block near sri conversation hall,4 Bedroom,600,4,2,87
Plot  Area,"Annapoorneshwari Layout, JP nagar 7th phase",3 Bedroom,600,3,1,70
Plot  Area,Thurahalli,4 Bedroom,600,3,2,65
Plot  Area,"Banashankari 6th stage , 2nd block",3 Bedroom,600,4,1,100
Plot  Area,Naganathapura,1 Bedroom,600,1,0,33
Plot  Area,Nagarbhavi,4 Bedroom,600,5,3,95
Plot  Area,Banashankari Stage VI,3 Bedroom,600,4,0,90
Super built-up  Area,Tunganagara,1 BHK,600,1,0,18
Plot  Area,Devi Nagar,2 Bedroom,600,2,1,80
Plot  Area,Kumaraswami Layout,6 Bedroom,600,6,3,100
Plot  Area,Banashankari Stage VI,3 Bedroom,600,3,2,90
Plot  Area,Bidrahalli,1 Bedroom,600,1,1,35
Plot  Area,Nagasandra,4 Bedroom,600,4,2,80
Built-up  Area,Singasandra,1 Bedroom,600,1,0,45
Super built-up  Area,1st Block HBR Layout,1 BHK,600,1,0,45
Plot  Area,BTM 4th Stage,1 Bedroom,600,1,0,58
Super built-up  Area,A Narayanapura,1 BHK,600,2,1,35
Plot  Area,Kurubarahalli,4 Bedroom,600,4,0,77
Built-up  Area,Banashankari,2 BHK,600,1,0,27
Plot  Area,8th block Koramangala,3 Bedroom,600,2,1,85
Plot  Area,9th Phase JP Nagar,3 Bedroom,600,3,2,79
Plot  Area,Hosakerehalli,2 Bedroom,600,2,0,65
Plot  Area,9th Phase JP Nagar,3 Bedroom,600,3,2,85
Built-up  Area,Singasandra,1 Bedroom,600,1,0,45
Plot  Area,9th Phase JP Nagar,6 Bedroom,600,6,2,75
Super built-up  Area,Kodipalya,5 BHK,600,6,3,72
Plot  Area,Ramchandrapuram,4 Bedroom,600,4,2,60
Plot  Area,7th Block Koramangala,6 Bedroom,600,5,3,130
Plot  Area,Sampangi Rama Nagar,8 Bedroom,600,4,3,175
Super built-up  Area,Kodigehalli,4 BHK,600,3,2,85
Built-up  Area,Malleshwaram,2 Bedroom,600,1,0,68
Plot  Area,Nagarbhavi,4 Bedroom,600,3,0,77
Plot  Area,Venkateswara Nagar,1 Bedroom,600,1,0,20
Plot  Area,Banashankari Stage VI,4 Bedroom,600,3,1,97
Built-up  Area,Kengeri,1 BHK,600,1,1,35
Plot  Area,Jalahalli,1 Bedroom,600,1,0,37
Plot  Area,Hoskote near,2 Bedroom,600,2,2,29.5
Plot  Area,1st Block HRBR Layout,3 Bedroom,600,3,2,125
